SMILES,Smiles_Solvent,Smiles_Merged,Predicted_LogS,Prediction_Status,Prediction_Error
CC[n+]1ccc(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/c2cc[n+](CC)cc2)cc1,O,CC[n+]1ccc(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/c2cc[n+]3(CC)~O~c3c2)cc1,-1.8354415893554688,ok,
CN1CCSC1=CC=CC=CC=CC1=[N+](C)CCS1,O,C[N+]1=C2(~O~N3(C)CCSC3=CC=CC=CC=C2)SCC1,-2.4649264812469482,ok,
CC=CC=CC=CC=CC=CC(=O)C1=C(O)[C@@H](CCC(=O)O)N(C)C1=O,O,CC=CC=CC=CC=CC=CC(=O)C1=C2O~O~C(=O)(O)CC[C@H]2N(C)C1=O,-3.3343236446380615,ok,
CC1(C)C(C=CC2=C(Cl)C(=CC=C3N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+],O,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)=C2Cl)N(CCCCS(=O)(=O)[O-]~O~[Na+])c2ccc3ccccc3c21,-3.9280388355255127,ok,
CCCCn1c(=CC=CC=CC=CC2=[N+](CCCC)c3cccc4cccc2c34)c2cccc3cccc1c32,O,CCCC[N+]1=C2C=CC=CC=CC=c3c4cccc5cccc(c54)n3(CCCC)~O~c13cccc1cccc2c13,-7.558506011962891,ok,
CC(C=CC=CC=CC=CC(=O)C1=C(O)C(CCC(=O)O)N(C)C1=O)=CC(C)C(O[C@H]1C[C@H](O)[C@H](O)[C@@H](C)O1)C(C)C,O,CC(C=CC=CC=CC=CC(=O)C1=C2O~O~C(=O)(O)CCC2N(C)C1=O)=CC(C)C(O[C@H]1C[C@H](O)[C@H](O)[C@@H](C)O1)C(C)C,-4.681009292602539,ok,
CC1CC2OC(C=CC=CC=CC=CC=CC(=O)C3=C(O)N(C)C(C(C)C)C3=O)C(O)C2O1,O,CC1CC2OC(C=CC=CC=CC=CC=CC(=O)C3=C4(~O~O4)N(C)C(C(C)C)C3=O)C(O)C2O1,-4.736331939697266,ok,
CCN1C(=CC=CC=C2CCC(C=CC=Cc3sc4ccccc4[n+]3CC)=C2Cl)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)C(=CC=CC=C3CCC(=C3Cl)C=CC=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)=C2Cl)N(CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,O,CC1(C)C2=CC=C3CCCC(=C3Cl)C=CC3=[N+](CCCCS(=O)(=O)[O-])c4(~O~[O-]S(=O)(=O)CCCCN2c2ccc5ccccc5c21)ccc1ccccc1c4C3(C)C,-3.9097354412078857,ok,
CN1/C(=C\C=C2/CCC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,O,C[N+]1=C2C=CC3=C(Cl)/C(=C/C=C4/C(C)(C)c5ccccc5N4(C)~O~c14ccccc4C2(C)C)CC3,-7.049056053161621,ok,
[K+].[K+].[O-]S([O-])(=O)=O,O,O=S(=O)([O-])[O-]~O~[K+].[K+],-1.6138817071914673,ok,
CN1/C(=C\C=C2/CCCC(C=CC3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,O,C[N+]1=C2C=CC3=C(Cl)/C(=C/C=C4/C(C)(C)c5ccccc5N4(C)~O~c14ccccc4C2(C)C)CCC3,-7.165473937988281,ok,
CCN1C(=O)/C(=C\C=C\C=C\C=C2\N(C)c3ccccc3C2(C)C)SC1=S,O,CCN1C(=S)S/C2=C/C=C/C=C/C=C3\C(C)(C)c4ccccc4N3(C)~O~C21=O,-6.938182830810547,ok,
CC(C=CC=C(C)C=CC(=O)[C@@]1(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@H](O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)C[C@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1(=O)~O~O[C@H]2CC(C)(C)[C@]1(C)C2,-5.966272354125977,ok,
CC(C=O)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C1~O~O=1,-6.144196510314941,ok,
CC(C=CC=C(C)C=CC(=O)[C@]1(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1(=O)~O~O[C@H]2CC(C)(C)[C@@]1(C)C2,-5.976720809936523,ok,
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21.[Na+],O,CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-]~O~[Na+])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,-3.959909439086914,ok,
CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)C[C@@H](O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC2(~O~O2)CC1(C)C,-6.495113372802734,ok,
CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCCC(=O)O)c4ccccc4C3(C)C)=C2Cl)N(CCCCCC(=O)O)c2ccccc21,O,CC1(C)C2=CC=C3CCCC(=C3Cl)C=CC3=[N+](CCCCCC(=O)(O)~O~OC(=O)CCCCCN2c2ccccc21)c1ccccc1C3(C)C,-4.174327373504639,ok,
CCN1C(=CC=C2CCC(C=Cc3sc4ccccc4[n+]3CC)=C2Cl)Sc2ccccc21,O,CC[n+]1c2ccccc2sc12~O~N1(CC)C(=CC=C3CCC(=C3Cl)C=C2)Sc2ccccc21,,failed,Featurization failed: RDKit could not parse Smiles_Merged
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C,O,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC2(~O~O2)CC1(C)C,-6.341320991516113,ok,
CC1(C)C(C=CC2=C(Cl)C(=CC=C3N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21.[Br-],O,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCCC(=O)(O)~O~[Br-])c4ccccc4C3(C)C)=C2Cl)N(CCCCCC(=O)O)c2ccccc21,-5.3486199378967285,ok,
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)O[Na])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,O,CC1(C)C2=[N+](CCCCS(=O)(=O)[O-]~O~C(/C=C/C=C3/N(CCCCS(=O)(=O)O[Na])c4ccc5ccccc5c4C3(C)C)=C\C=C\2)c2ccc3ccccc3c21,-3.9751527309417725,ok,
